,MonthYear,Count
0,201605,245
1,201611,261
2,201706,261
3,201602,170
4,201601,167
5,201910,82
6,201805,122
7,202004,48
8,201712,184
9,201803,178
10,202012,61
11,202001,46
12,201612,246
13,201608,175
14,201510,173
15,201809,110
16,201507,166
17,201912,64
18,202003,51
19,201908,77
20,202002,57
21,201702,257
22,201609,180
23,201909,91
24,201709,190
25,201506,199
26,201902,65
27,201512,84
28,201504,81
29,201802,167
30,201607,285
31,201707,291
32,201502,45
33,202006,79
34,201907,91
35,202008,47
36,201801,153
37,201603,121
38,201905,82
39,201704,227
40,201705,288
41,201804,159
42,201808,105
43,201904,88
44,202007,50
45,201610,222
46,201701,193
47,201811,104
48,201903,97
49,201604,193
50,202011,47
51,201911,89
52,201806,152
53,202005,44
54,201710,163
55,201807,161
56,201810,122
57,202009,53
58,201511,147
59,202010,33
60,201508,131
61,201906,76
62,201501,5
63,201703,306
64,201711,194
65,201812,78
66,201708,164
67,201505,141
68,201901,77
69,201503,133
70,201606,228
71,201509,167
