Year,EventRootCode,Count
2020,17,77153
2020,14,21308
2016,02,170999
2017,03,121086
2019,05,123069
2016,20,666
2020,01,231877
2015,14,8209
2019,02,121659
2019,06,28619
2017,12,53490
2016,07,93117
2018,16,14469
2016,15,3001
2017,08,73672
2017,18,30110
2020,05,116455
2015,03,105701
2015,12,45291
2015,06,26550
2015,16,9443
2016,08,87684
2016,--,8
2019,07,63183
2015,09,39661
2017,20,449
2020,12,34868
2016,17,123580
2020,11,97398
2018,04,434338
2018,17,107426
2018,02,131865
2020,04,341522
2018,--,2
2015,19,110704
2020,13,18434
2019,10,17346
2015,01,251243
2017,09,47471
2018,13,21253
2019,13,17020
2018,12,45945
2020,07,60978
2017,01,307703
2017,15,2990
2017,06,33325
2019,20,228
2019,16,12813
2018,18,29812
2020,02,123413
2018,08,68087
2015,05,129095
2020,18,17560
2015,15,2102
2019,--,3
2019,09,42825
2015,08,56256
2015,07,69580
2019,01,243886
2019,19,100190
2018,05,142930
2019,17,98052
2018,19,116249
2018,09,46941
2019,08,57566
2016,19,164538
2019,03,91602
2016,10,24270
2017,13,24654
2016,13,27942
2015,04,393388
2015,13,17793
2018,10,19827
2019,11,110375
2016,05,201290
2017,02,150329
2016,16,15893
2019,15,1989
2020,09,32968
2016,11,176289
2017,05,152032
2017,07,83998
2017,14,15303
2015,02,122947
2020,20,134
2016,01,362137
2016,14,18488
2017,04,477120
2017,11,141980
2018,07,72787
2020,03,84359
2020,08,54327
2020,10,22396
2018,06,31328
2018,14,11566
2019,04,394687
2020,19,90564
2015,17,93599
2020,15,2134
2015,11,106433
2018,20,445
2019,12,39372
2017,17,114342
2020,16,12354
2016,03,142897
2017,19,122254
2019,14,10193
2016,18,34450
2020,06,25553
2015,20,334
2016,12,60494
2017,10,24179
2016,06,36326
2015,18,22283
2018,01,278115
2016,09,53108
2015,10,18230
2018,03,104231
2019,18,23921
2016,04,552471
2017,16,17655
2018,11,128504
2018,15,2597
